impl,size,workers,iter,seconds
openmp_bt,200,1,1,0.00
openmp_blocked,200,1,1,0.00
openmp_bt,200,1,2,0.00
openmp_blocked,200,1,2,0.00
openmp_bt,200,1,3,0.00
openmp_blocked,200,1,3,0.00
openmp_bt,200,1,4,0.00
openmp_blocked,200,1,4,0.00
openmp_bt,200,1,5,0.00
openmp_blocked,200,1,5,0.00
openmp_bt,200,1,6,0.00
openmp_blocked,200,1,6,0.00
openmp_bt,200,1,7,0.00
openmp_blocked,200,1,7,0.00
openmp_bt,200,1,8,0.00
openmp_blocked,200,1,8,0.00
openmp_bt,200,1,9,0.00
openmp_blocked,200,1,9,0.00
openmp_bt,200,1,10,0.00
openmp_blocked,200,1,10,0.00
openmp_bt,200,2,1,0.00
openmp_blocked,200,2,1,0.00
openmp_bt,200,2,2,0.00
openmp_blocked,200,2,2,0.00
openmp_bt,200,2,3,0.00
openmp_blocked,200,2,3,0.00
openmp_bt,200,2,4,0.00
openmp_blocked,200,2,4,0.00
openmp_bt,200,2,5,0.00
openmp_blocked,200,2,5,0.00
openmp_bt,200,2,6,0.00
openmp_blocked,200,2,6,0.00
openmp_bt,200,2,7,0.00
openmp_blocked,200,2,7,0.00
openmp_bt,200,2,8,0.00
openmp_blocked,200,2,8,0.00
openmp_bt,200,2,9,0.00
openmp_blocked,200,2,9,0.00
openmp_bt,200,2,10,0.00
openmp_blocked,200,2,10,0.00
openmp_bt,200,4,1,0.00
openmp_blocked,200,4,1,0.00
openmp_bt,200,4,2,0.00
openmp_blocked,200,4,2,0.00
openmp_bt,200,4,3,0.00
openmp_blocked,200,4,3,0.00
openmp_bt,200,4,4,0.00
openmp_blocked,200,4,4,0.00
openmp_bt,200,4,5,0.00
openmp_blocked,200,4,5,0.00
openmp_bt,200,4,6,0.00
openmp_blocked,200,4,6,0.00
openmp_bt,200,4,7,0.00
openmp_blocked,200,4,7,0.00
openmp_bt,200,4,8,0.00
openmp_blocked,200,4,8,0.00
openmp_bt,200,4,9,0.00
openmp_blocked,200,4,9,0.00
openmp_bt,200,4,10,0.00
openmp_blocked,200,4,10,0.00
openmp_bt,200,8,1,0.00
openmp_blocked,200,8,1,0.00
openmp_bt,200,8,2,0.00
openmp_blocked,200,8,2,0.00
openmp_bt,200,8,3,0.00
openmp_blocked,200,8,3,0.00
openmp_bt,200,8,4,0.00
openmp_blocked,200,8,4,0.00
openmp_bt,200,8,5,0.00
openmp_blocked,200,8,5,0.00
openmp_bt,200,8,6,0.00
openmp_blocked,200,8,6,0.00
openmp_bt,200,8,7,0.00
openmp_blocked,200,8,7,0.00
openmp_bt,200,8,8,0.00
openmp_blocked,200,8,8,0.00
openmp_bt,200,8,9,0.00
openmp_blocked,200,8,9,0.00
openmp_bt,200,8,10,0.00
openmp_blocked,200,8,10,0.00
openmp_bt,200,16,1,0.00
openmp_blocked,200,16,1,0.00
openmp_bt,200,16,2,0.00
openmp_blocked,200,16,2,0.00
openmp_bt,200,16,3,0.00
openmp_blocked,200,16,3,0.00
openmp_bt,200,16,4,0.00
openmp_blocked,200,16,4,0.00
openmp_bt,200,16,5,0.00
