algo,impl,N,workers,avg_seconds,avg_pi,runs
dart,fork,20000000,1,0.162684,3.141681000,5
dart,omp,20000000,1,0.157312,3.141681000,5
dart,serial,20000000,1,0.163981,3.142378200,5
dart,threads,20000000,1,0.161928,3.141681000,5
dart,fork,20000000,2,0.086090,3.141923600,5
dart,omp,20000000,2,0.083037,3.141923600,5
dart,threads,20000000,2,0.086703,3.141923600,5
dart,fork,20000000,4,0.047888,3.142270600,5
dart,omp,20000000,4,0.046942,3.142270600,5
dart,threads,20000000,4,0.046917,3.142270600,5
dart,fork,20000000,8,0.029727,3.141369200,5
dart,omp,20000000,8,0.029147,3.141369200,5
dart,threads,20000000,8,0.028279,3.141369200,5
dart,fork,20000000,16,0.027868,3.142072200,5
dart,omp,20000000,16,0.044730,3.142072200,5
dart,threads,20000000,16,0.022936,3.142072200,5
dart,fork,40000000,1,0.318191,3.141946200,5
dart,omp,40000000,1,0.305103,3.141946200,5
dart,serial,40000000,1,0.316367,3.141695600,5
dart,threads,40000000,1,0.316058,3.141946200,5
dart,fork,40000000,2,0.164468,3.142063900,5
dart,omp,40000000,2,0.158717,3.142063900,5
dart,threads,40000000,2,0.166851,3.142063900,5
dart,fork,40000000,4,0.088264,3.141963100,5
dart,omp,40000000,4,0.088001,3.141963100,5
dart,threads,40000000,4,0.087533,3.141963100,5
dart,fork,40000000,8,0.050729,3.141938700,5
dart,omp,40000000,8,0.050072,3.141938700,5
dart,threads,40000000,8,0.048466,3.141938700,5
dart,fork,40000000,16,0.040430,3.141795400,5
dart,omp,40000000,16,0.055569,3.141795400,5
dart,threads,40000000,16,0.038882,3.141795400,5
dart,fork,80000000,1,0.629217,3.141640600,5
dart,omp,80000000,1,0.606347,3.141640600,5
dart,serial,80000000,1,0.621218,3.141692950,5
dart,threads,80000000,1,0.622210,3.141640600,5
dart,fork,80000000,2,0.322506,3.141871350,5
dart,omp,80000000,2,0.315497,3.141871350,5
dart,threads,80000000,2,0.319043,3.141871350,5
dart,fork,80000000,4,0.167603,3.141810850,5
dart,omp,80000000,4,0.163936,3.141810850,5
dart,threads,80000000,4,0.166254,3.141810850,5
dart,fork,80000000,8,0.089800,3.141604700,5
dart,omp,80000000,8,0.090073,3.141604700,5
dart,threads,80000000,8,0.088676,3.141604700,5
dart,fork,80000000,16,0.068805,3.141934350,5
dart,omp,80000000,16,0.080246,3.141934350,5
dart,threads,80000000,16,0.069819,3.141934350,5
dart,fork,200000000,1,1.290170,3.141792440,5
dart,omp,200000000,1,1.490931,3.141792440,5
dart,serial,200000000,1,1.547316,3.141720080,5
dart,threads,200000000,1,1.553328,3.141792440,5
dart,fork,200000000,2,0.788199,3.141686840,5
dart,omp,200000000,2,0.771101,3.141686840,5
dart,threads,200000000,2,0.789089,3.141686840,5
dart,fork,200000000,4,0.402450,3.141707480,5
dart,omp,200000000,4,0.400569,3.141707480,5
dart,threads,200000000,4,0.406042,3.141707480,5
dart,fork,200000000,8,0.210113,3.141602420,5
dart,omp,200000000,8,0.212067,3.141602420,5
dart,threads,200000000,8,0.214412,3.141602420,5
dart,fork,200000000,16,0.151736,3.141520500,5
dart,omp,200000000,16,0.139554,3.141520500,5
dart,threads,200000000,16,0.142907,3.141520500,5
