algo,impl,N,workers,iter,seconds,pi
dart,serial,20000000,1,1,0.164507,3.142378200
dart,serial,20000000,1,2,0.163109,3.142378200
dart,serial,20000000,1,3,0.162230,3.142378200
dart,serial,20000000,1,4,0.164104,3.142378200
dart,serial,20000000,1,5,0.165955,3.142378200
dart,serial,40000000,1,1,0.317080,3.141695600
dart,serial,40000000,1,2,0.313612,3.141695600
dart,serial,40000000,1,3,0.311714,3.141695600
dart,serial,40000000,1,4,0.318702,3.141695600
dart,serial,40000000,1,5,0.320725,3.141695600
dart,serial,80000000,1,1,0.618356,3.141692950
dart,serial,80000000,1,2,0.616298,3.141692950
dart,serial,80000000,1,3,0.618199,3.141692950
dart,serial,80000000,1,4,0.627490,3.141692950
dart,serial,80000000,1,5,0.625749,3.141692950
dart,serial,200000000,1,1,1.567243,3.141720080
dart,serial,200000000,1,2,1.548006,3.141720080
dart,serial,200000000,1,3,1.536024,3.141720080
dart,serial,200000000,1,4,1.546509,3.141720080
dart,serial,200000000,1,5,1.538798,3.141720080
dart,serial,400000000,1,1,3.102925,3.141677990
dart,serial,400000000,1,2,3.086654,3.141677990
dart,serial,400000000,1,3,3.073784,3.141677990
dart,serial,400000000,1,4,3.056383,3.141677990
dart,serial,400000000,1,5,3.108885,3.141677990
dart,serial,800000000,1,1,4.749797,3.141659030
dart,serial,800000000,1,2,6.178042,3.141659030
dart,serial,800000000,1,3,6.204563,3.141659030
dart,serial,800000000,1,4,6.222572,3.141659030
dart,serial,800000000,1,5,6.174729,3.141659030
dart,serial,1600000000,1,1,10.919324,3.141601165
dart,serial,1600000000,1,2,12.374647,3.141601165
dart,serial,1600000000,1,3,10.980325,3.141601165
dart,serial,1600000000,1,4,12.342437,3.141601165
dart,serial,1600000000,1,5,12.346339,3.141601165
dart,threads,20000000,1,1,0.163661,3.141681000
dart,threads,20000000,1,2,0.160445,3.141681000
dart,threads,20000000,1,3,0.160597,3.141681000
dart,threads,20000000,1,4,0.160514,3.141681000
dart,threads,20000000,1,5,0.164423,3.141681000
dart,threads,20000000,2,1,0.085560,3.141923600
dart,threads,20000000,2,2,0.086736,3.141923600
dart,threads,20000000,2,3,0.088383,3.141923600
dart,threads,20000000,2,4,0.086510,3.141923600
dart,threads,20000000,2,5,0.086325,3.141923600
dart,threads,20000000,4,1,0.048464,3.142270600
dart,threads,20000000,4,2,0.047138,3.142270600
dart,threads,20000000,4,3,0.046762,3.142270600
dart,threads,20000000,4,4,0.046175,3.142270600
dart,threads,20000000,4,5,0.046045,3.142270600
dart,threads,20000000,8,1,0.028772,3.141369200
dart,threads,20000000,8,2,0.028695,3.141369200
dart,threads,20000000,8,3,0.027541,3.141369200
dart,threads,20000000,8,4,0.028412,3.141369200
dart,threads,20000000,8,5,0.027976,3.141369200
dart,threads,20000000,16,1,0.023803,3.142072200
dart,threads,20000000,16,2,0.019766,3.142072200
dart,threads,20000000,16,3,0.025374,3.142072200
dart,threads,20000000,16,4,0.019419,3.142072200
dart,threads,20000000,16,5,0.026319,3.142072200
dart,threads,40000000,1,1,0.312919,3.141946200
dart,threads,40000000,1,2,0.315244,3.141946200
dart,threads,40000000,1,3,0.321902,3.141946200
dart,threads,40000000,1,4,0.313559,3.141946200
dart,threads,40000000,1,5,0.316666,3.141946200
dart,threads,40000000,2,1,0.171335,3.142063900
dart,threads,40000000,2,2,0.163856,3.142063900
dart,threads,40000000,2,3,0.166030,3.142063900
dart,threads,40000000,2,4,0.164053,3.142063900
dart,threads,40000000,2,5,0.168982,3.142063900
dart,threads,40000000,4,1,0.086114,3.141963100
dart,threads,40000000,4,2,0.088052,3.141963100
dart,threads,40000000,4,3,0.089041,3.141963100
