Tipo, Tamaño, Repeticion, Movimientos totales, Tiempo total, Velocidad promedio
MPI, 100000, 1, 48413538, 0.093501, 0.971379
MPI, 200000, 1, 96690136, 0.160756, 0.966563
MPI, 300000, 1, 144840555, 0.223298, 0.963189
MPI, 400000, 1, 193237465, 0.325423, 0.965569
MPI, 500000, 1, 241571331, 0.443054, 0.968396

MPI, 100000, 2, 48325154, 0.099868, 0.964054
MPI, 200000, 2, 96567544, 0.181842, 0.969894
MPI, 300000, 2, 144650902, 0.279727, 0.963748
MPI, 400000, 2, 193116506, 0.381911, 0.965375
MPI, 500000, 2, 241319454, 0.485454, 0.966763

MPI, 100000, 3, 48130061, 0.089279, 0.960277
MPI, 200000, 3, 96442411, 0.183948, 0.962576
MPI, 300000, 3, 144866474, 0.213458, 0.964298
MPI, 400000, 3, 192991408, 0.297555, 0.966092
MPI, 500000, 3, 241124724, 0.442912, 0.965576

MPI, 100000, 4, 48237411, 0.091334, 0.963765
MPI, 200000, 4, 96287268, 0.150189, 0.961594
MPI, 300000, 4, 144795737, 0.227383, 0.963577
MPI, 400000, 4, 193045409, 0.338063, 0.965097
MPI, 500000, 4, 241440421, 0.367526, 0.966934

MPI, 100000, 5, 48250796, 0.089239, 0.963436
MPI, 200000, 5, 96703508, 0.167919, 0.969196
MPI, 300000, 5, 144669736, 0.242661, 0.968559
MPI, 400000, 5, 192857990, 0.315286, 0.962216
MPI, 500000, 5, 241202021, 0.433805, 0.964673

MPI, 100000, 6, 48392172, 0.100512, 0.971321
MPI, 200000, 6, 96679173, 0.151180, 0.969847
MPI, 300000, 6, 144836935, 0.277087, 0.968407
MPI, 400000, 6, 193483065, 0.346344, 0.969325
MPI, 500000, 6, 241410673, 0.439073, 0.967213

MPI, 100000, 7, 48310290, 0.105623, 0.964470
MPI, 200000, 7, 96556818, 0.187257, 0.962968
MPI, 300000, 7, 144638349, 0.275486, 0.961129
MPI, 400000, 7, 193050856, 0.348919, 0.965505
MPI, 500000, 7, 241550548, 0.497943, 0.965225

MPI, 100000, 8, 48368863, 0.099155, 0.966739
MPI, 200000, 8, 96549537, 0.182026, 0.967673
MPI, 300000, 8, 144777749, 0.274801, 0.964291
MPI, 400000, 8, 193136122, 0.379202, 0.966251
MPI, 500000, 8, 241533547, 0.493892, 0.965972

MPI, 100000, 9, 48364428, 0.094558, 0.959821
MPI, 200000, 9, 96503244, 0.169511, 0.964492
MPI, 300000, 9, 144988714, 0.245960, 0.969066
MPI, 400000, 9, 193102529, 0.382578, 0.962375
MPI, 500000, 9, 241520440, 0.449411, 0.964392

MPI, 100000, 10, 48225377, 0.079155, 0.968595
MPI, 200000, 10, 96537163, 0.191083, 0.963666
MPI, 300000, 10, 144858314, 0.267733, 0.964417
MPI, 400000, 10, 193024940, 0.381459, 0.964560
MPI, 500000, 10, 241424781, 0.430398, 0.966627

